Name,Type,Lat,Lon
Parohia Pârscov,lacas de cult,45.2892371,26.563724
Biserica,lacas de cult,46.1924874,21.3059267
Katholische Kirche St. Josef Kleinsanktnikolaus,lacas de cult,46.1417672,21.3446291
Betania,lacas de cult,46.145145,21.3391469
Betel,lacas de cult,46.1980237,21.3018995
Biserica Sfântul Ioan,lacas de cult,45.6442598,25.5915883
Biruința,lacas de cult,46.1471612,21.3301838
Mănăstirea Ciolanu,lacas de cult,45.2355817,26.5472276
Schitul Cetățuia,lacas de cult,45.2416078,26.5351582
Biserica Sf Ioan Botezătorul,lacas de cult,47.0728571,24.4352777
Biserica Ortodoxă Sârbă,lacas de cult,46.2102463,21.2772681
Biserica Ortodoxă,lacas de cult,46.2110325,21.2776569
Biserica Reformată,lacas de cult,46.2031559,21.2837187
Nr. 7,lacas de cult,46.1473743,21.319841
Sfântul Nicolae,lacas de cult,45.09371,25.848761
"Biserica Ortodoxă ""Buna Vestire"" din Brașov",lacas de cult,45.6471851,25.5911482
Biserica Evanghelică Sf. Martin,lacas de cult,45.6517556,25.5884738
Biserica Brașovul Vechi,lacas de cult,45.6542175,25.5893267
Biserica ortodoxă Cornetu,lacas de cult,44.3405311,25.9421724
Biserica Bordeni,lacas de cult,45.0915583,25.8696092
Biserica,lacas de cult,46.123931,21.3850682
Biserica Greco-Catolică,lacas de cult,46.1627997,21.4060524
Sfânta Treime,lacas de cult,46.158017,21.407759
Mănăstirea Piatra Scrisă,lacas de cult,45.2172496,22.3019886
Biserica,lacas de cult,45.0390514,22.4151764
Biserica Sf. Vasile cel Mare și Sf. Ilie,lacas de cult,44.4107993,26.0166439
Evangelische Kirche,lacas de cult,45.8951732,24.3474966
Biserica Adormirea Maicii Domnului,lacas de cult,45.6178748,25.6949078
Biserica Catolică,lacas de cult,47.5701081,25.1250469
Biserica Ortodoxă,lacas de cult,47.5721739,25.1254469
Biserica Germană,lacas de cult,47.5748149,25.1268706
Mănăstirea Războieni,lacas de cult,47.086715,26.5547078
"Poenita, Orth. Kirche",lacas de cult,45.8164613,24.5524646
Orthodoxe Kirche,lacas de cult,45.8941549,24.3367756
orthodoxe Kirche,lacas de cult,45.9199879,24.3906736
Biserica Evanghelică Cârța,lacas de cult,45.7920267,24.5691262
"Poenita, orh. Kirche",lacas de cult,45.815327,24.5524827
Mănăstirea Piatra Sfântă,lacas de cult,47.0909267,27.6405365
Biserica Barnova,lacas de cult,47.0822274,27.6236709
Schitul Peștera,lacas de cult,45.3913181,25.4393873
Biserica,lacas de cult,45.1274286,25.5605187
Biserica,lacas de cult,45.1675734,25.5424278
Biserica Bezdead,lacas de cult,45.1412729,25.4925654
Biserica Rânca,lacas de cult,45.2909675,23.6808049
Biserica catolică „Sfinții Petru și Pavel”,lacas de cult,44.4904317,26.0917094
Biserica Floreasca - Sf Nicolae,lacas de cult,44.4701197,26.1046611
Mânăstirea Bujoreni,lacas de cult,46.2830405,27.8507209
Biserica Ortodoxă „Doamna Oltea”,lacas de cult,44.4574215,26.1063257
Biserica Ortodoxă „Sfântul Gheorghe” Otopeni,lacas de cult,44.5523213,26.0742977
Biserică Evanghelică Fortificată,lacas de cult,45.898463,25.5379824
Mănăstirea Șag-Timișeni,lacas de cult,45.6531667,21.2051425
Biserica Sf. Treime,lacas de cult,46.206389,23.6743699
Biserica Sfânta Treime,lacas de cult,44.3183176,23.7928514
Biserica Reformată Dumbrava,lacas de cult,45.8245137,22.1171596
Mănăstirea Lainici,lacas de cult,45.2643015,23.3925652
Biserica Nouă,lacas de cult,46.9613343,24.200842
Biserica Veche,lacas de cult,46.9627729,24.2022142
Capela Adormirea Maicii Domnului,lacas de cult,46.2295842,24.8192908
Biserica Unitariană,lacas de cult,46.3056662,23.1322884
Mănăstirea Sfântul Ioan cel Nou,lacas de cult,47.6417094,26.262906
Biserica Sfântul Ștefan,lacas de cult,45.4530069,28.027132
Biserica Sfânta Treime,lacas de cult,44.1119628,24.3471437
Biserica Ortodoxa Toti Sfintii,lacas de cult,44.1149399,24.3493725
Biserica Maranată,lacas de cult,45.751094,22.8976355
Biserica Romano-Catolică,lacas de cult,45.7523424,22.89857
Biserica Romano-Catolica Comuna Socond,lacas de cult,47.5627016,22.9506214
